カテゴリー,問題番号,問題,選択肢,正解,解説
関税法等(関税関係帳簿等),56-16-4,B,"（貨物を業として輸入する者が保存をしなければならないこととされている「関税関係書類」(関税法第94条第1項に規定するものをいい、同法第94条の2の規定により電磁的記録による保存をもって代える場合における当該電磁的記録を含む。)の意義に関しての問題である。）
書面で受領した輸入貨物に係る仕入書について、その記載事項をスキャナにより電磁的記録に記録したもので、当該電磁的記録の記録事項と関税関係帳簿の記載事項との関係が輸入の許可書の番号その他の記録事項により明らかであるように整理されていないものは、関税関係書類に該当することはない。",○×,○,"関税関係書類に記載されている事項をスキャナで読み取って電磁的記録に記録する（つまり電子データ化する）場合には、その電磁的記録の保存をもって当該関税関係書類の保存に代えることができる(関94条の2第3項、関規10条3項)。帳簿は紙で保存しなくても電子データで保存すればいいよという規定であるが、「書面で受領した輸入貨物に係る仕入書について、その記載事項をスキャナにより電磁的記録に記録したもの」とは、この電子データのことを指す。しかし、このような電子データが関税関係書類として認められるにはいくつか要件があり、その中には、電磁的記録の記録事項と関税関係帳簿の記載事項との関係が輸入の許可書の番号その他の記録事項により明らかであるように整理されてることが含まれる(関規10条4項3号)。そのため、この要件を満たさないものは、関税関係書類に該当することはない。
[参照　第2編（関税法）-第7章（関税関係帳簿等）-1.関税関係帳簿等-（7）電磁的記録や電子計算機出力マイクロフィルムの扱い]"
関税法等(関税関係帳簿等),56-16-5,B,"（貨物を業として輸入する者が保存をしなければならないこととされている「関税関係書類」(関税法第94条第1項に規定するものをいい、同法第94条の2の規定により電磁的記録による保存をもって代える場合における当該電磁的記録を含む。)の意義に関しての問題である。）
電子取引で受領した輸入貨物に関する仕入書に係る電磁的記録は、関税関係書類とはみなされない。",○×,○,"貨物を業として輸入する者は、電子取引を行った場合に、原則として、当該電子取引の取引情報に係る電磁的記録を保存しなければならない(関94条の5)。つまり、紙媒体ではなくメール等の電子データで取引を行ったら、その際の一定の重要なデータは保存義務があるということである。しかし、この保存したデータは、関税関係書類以外の書類とみなされるので(関94条の6第2項)、関税関係書類とみなすことは出来ない。電子取引の取引情報の保存要件と電磁的記録が関税関係書類として認められるための要件とは異なるため、電子取引の取引情報が実質的に関税関係書類の内容と同じであるとしても、電子取引の取引情報の電磁的記録の保存をもって関税関係書類の保存と扱うことはできないのである。
[参照　第2編（関税法）-第7章（関税関係帳簿等）-1.関税関係帳簿等-（1）関税関係帳簿、関税関係書類、電子取引の取引情報に係る電磁的記録、（7）電磁的記録や電子計算機出力マイクロフィルムの扱い]"
関税法等(課税物件確定時期と適用法令),56-17-1,A,関税の課税物件の確定の時期に関して、特例委託輸入者により電子情報処理組織を使用して輸入申告がされた貨物であって、輸入の許可を受けたもの(関税法第4条第1項第5号の3に掲げるもの)に対し関税を課する場合の基礎となる当該貨物の性質及び数量は、当該輸入申告の時における現況による。,○×,×,"特例委託輸入者により電子情報処理組織を使用して輸入申告がされた貨物であって、輸入の許可を受けたもの（つまり特例申告貨物）についての課税物件確定時期は、輸入の許可の時である(関4条1項5号の3)。なお、特例委託輸入者が電子情報処理組織（NACCS）を使用する場合でも、輸入申告の特例ではなく通常の輸入申告を利用することもできるが、本問では「関税法第4条第1項第5号の3に掲げるもの」という限定をつけることで、特例申告貨物についての課税物件確定時期を問うていることを明確にしている。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-⑩特例申告貨物]"
関税法等(課税物件確定時期と適用法令),56-17-2,A,関税の課税物件の確定の時期に関して、保税工場における保税作業による製品である外国貨物(関税法第4条第1項第2号に掲げるもの)に対し関税を課する場合の基礎となる当該外国貨物の性質及び数量は、当該外国貨物の原料である外国貨物につき、保税工場に置くこと又は保税工場において当該保税作業に使用することが税関長により承認された時における現況による。,○×,○,"保税工場における保税作業による製品についての課税物件確定時期は、当該外国貨物の原料である外国貨物につき、保税工場に置くこと又は保税工場において保税作業に使用することが税関長により承認された時（つまり移入承認の時）である(関4条1項2号)。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-③保税工場又は総合保税地域における保税作業による製品]"
関税法等(課税物件確定時期と適用法令),56-17-3,A,関税の課税物件の確定の時期に関して、保税蔵置場に置かれた外国貨物(関税法第4条第1項第1号に掲げるもの)で、当該保税蔵置場において亡失したものに対し関税を課する場合の基礎となる当該外国貨物の性質及び数量は、その亡失の時における現況による。,○×,×,"保税蔵置場に置かれた外国貨物で、その保税蔵置場において亡失したものの課税物件確定時期は、蔵入承認の時である(関4条1項1号)。なお、保税地域にある外国貨物で、亡失し、又は滅却されたものの課税物件確定時期は、亡失又は滅却の時であるが、これには1号に掲げるものを除く(関4条1項4号)。そのため前者の課税物件確定時期が後者の課税物件確定時期に優先し、保税蔵置場に「置かれた」外国貨物の亡失・滅却の場合は蔵入承認の時であり、保税地域に「ある」外国貨物の場合は亡失・滅却の時となる。そして、保税蔵置場に「置かれた」とは蔵入承認を受けたことを意味するため(関通4-1(1))、保税地域に「ある」と表現されていたら蔵入承認を受けていないことを意味する。よくある引っ掛けなので注意。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-⑥蔵入承認又は総保入承認を受けた貨物]"
関税法等(課税物件確定時期と適用法令),56-17-4,A,関税の課税物件の確定の時期に関して、税関長に届け出て外国貨物のまま運送された郵便物で、その発送の日の翌日から起算して7日以内に運送先に到着しないもの(関税法第4条第1項第5号の2に掲げるもの)に対し関税を課する場合の基礎となる当該郵便物の性質及び数量は、その届出がされた時における現況による。,○×,×,"税関長に届け出て外国貨物のまま運送された郵便物で、その発送の日の翌日から起算して7日以内に運送先に到着しないものの課税物件確定時期は、その郵便物が発送された時である(関4条1項5号の2)。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-⑫保税運送の規定期間内に到着しない郵便物]"
関税法等(課税物件確定時期と適用法令),56-17-5,A,関税の課税物件の確定の時期に関して、輸入申告がされた後に、輸入の許可を受けないで輸入された貨物に対し関税を課する場合の基礎となる当該貨物の性質及び数量は、その輸入の時における現況による。,○×,×,"輸入申告がされず、輸入の許可を受けないで輸入された貨物の課税物件確定時期は輸入の時であるが(関4条1項8号)、輸入申告がされた後に、輸入の許可を受けないで輸入された貨物はこれに当てはまらないので、課税物件確定時期は原則通り輸入申告の時となる。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-②無申告無許可輸入]"
関税法等(関税の確定),56-18-1,A,納税申告をした者は、先にした納税申告により納付すべき税額が過大又は過少である場合には、当該税額について税関長の更正があるまでは、当該税額について修正申告をすることができる。,○×,×,"納税申告をした者は、先にした納税申告により納付すべき税額が過少である場合（不足額がある場合）には、当該税額について税関長の更正があるまでは、当該税額について修正申告をすることができる(関7条の14第1項1号)。なお、過大であるときは、更正の請求(関7条の15)ができる。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-1.申告納税方式-（2）輸入者が行う手続-②修正申告]"
関税法等(関税の確定),56-18-2,A,納税申告に係る貨物の輸入の許可前にする修正申告は、先の納税申告に係る書面に記載した課税標準又は納付すべき税額を補正することにより行うことができることとされており、これを行おうとする者は、税関長にその旨を申し出て当該納税申告に係る書面の交付を受け、当該書面に記載した課税標準及び税額その他関係事項の補正をし、その補正をした箇所に押印をして、これを税関長に提出しなければならない。,○×,×,"納税申告に係る貨物の輸入の許可前にする修正申告は、先の納税申告に係る書面に記載した課税標準又は納付すべき税額を補正することにより行うことができることとされており、これを行おうとする者は、税関長にその旨を申し出て当該納税申告に係る書面の交付を受け、当該書面に記載した課税標準及び税額その他関係事項の補正をし、これを税関長に提出しなければならない(関7条の14第2項、関令4条の16第2項)。かつては押印が必要であったが、令和3年の改正により不要となった。かつては押印を要した書類も、改正により今はその殆どが押印不要となっている。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-1.申告納税方式-（2）輸入者が行う手続-②修正申告]"
関税法等(関税の確定),56-18-3,A,納税申告が必要とされている貨物についてその輸入の時までに当該申告がないことにより税関長による税額の決定を受けた者は、当該輸入の後に生じたやむを得ない理由により、当該決定により納付すべき税額が過大である場合には、当該決定をした税関長に対し、当該税額につき更正をすべき旨の請求をすることができる。,○×,×,"更正の請求は、納税申告をしたことが要件となっているので(関7条の15第1項)、納税申告をしていない場合、更正の請求はできない。このとき、税額等の決定に限定して納税者側から請求する手続は法律上存在しないので、不服申立ての一般的な手続(関89条以下)を利用することになる。なお、事実上は不服申立てをせずとも税関に促せば、決定に係る税額等の更正(関7条の16第3項)をしてくれる可能性もあるが、事実上これを促すのは法的な効果のないお願いであり、更正の請求ではない。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-1.申告納税方式-（2）輸入者が行う手続-③更正の請求]"
関税法等(関税の確定),56-18-4,A,賦課課税方式が適用される郵便物に係る関税について納付すべき税額が過大である場合には、当該郵便物の名宛人が税関長に対して当該税額につき更正をすべき旨の請求をすることはできないが、税関長は、当該税額が過大であることを知ったときは、その調査により、当該税額を変更する決定をすることとされている。,○×,○,"賦課課税方式が適用される貨物については、更正の概念が無く更正の請求はできないので、税関長は、賦課決定をした後、その決定をした課税標準又は納付すべき税額が過大又は過少であることを知ったときは、その調査により、当該決定に係る課税標準及び納付すべき税額を変更する決定をする(再賦課決定 関8条3項)。本問は、税関長が、納付すべき税額が過大であることを知ったときなので、その調査により、納付すべき税額を変更する決定をすることになるため正しい。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-2.賦課課税方式-（3）賦課決定と納税告知]"
関税法等(賦課権の期間制限と徴収権の消滅時効),56-18-5,B,関税に係る期限後特例申告書の提出に伴って行われることとなる無申告加算税又は重加算税についてする賦課決定については、当該提出が、その関税の法定納期限等から5年を経過した日の前3月以内にされた場合であって、かつ、当該関税についての調査があったことにより当該関税について決定があるべきことを予知してされたものであるときは、当該提出があった日から3月を経過する日まで、することができる。,○×,×,"関税についての賦課決定は、法定納期限等から5年を経過した日以後においてはすることができないのが原則である(関14条1項)。しかし例外として、賦課決定ができないこととなる日（つまり法定納期限等から5年を経過した日）の前3月以内にされた期限後特例申告書の提出又は修正申告に伴って行われる無申告加算税（調査通知前のものに限る。）の賦課決定は、期限後特例申告書の提出又は修正申告があった日から3月を経過する日までできる(関14条3項、12条の3第1項、6項)。しかし、重加算税についてする賦課決定についてはこの例外の対象となっていないので、この点が誤りとなる。また、「関税についての調査があったことにより当該関税について決定があるべきことを予知してされたものであるとき」というのは調査通知後更正決定予知後を意味するが、この例外の対象となっているのは調査通知前のものに限られているから、この点も誤りとなる。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-3.賦課権の期間制限と徴収権の消滅事項-（3）賦課権の期間制限、第2編（関税法）-第20章（附帯税2（加算税））-1.過少申告加算税と無申告加算税-（3）加算税額計算-③加算税率-ⅰ基本の税率]"
関税法等(関税の徴収),56-19-1,C,輸入貨物に係る関税がその納期限から50日以内に完納されない場合(当該関税につき担保の提供がある場合を除く。)には、その期間の経過後は、税関長は、その納税義務者に対し、督促状を発することなく滞納処分を行うこととされている。,○×,×,"関税が納期限までに完納されない場合（当該関税につき担保の提供がある場合を除く。）における当該関税の徴収については、国税徴収の例による(関11条)。つまり、国税を徴収するときと同様の手続きを行うという意味である。そして、国税通則法37条、40条では、税が納期限までに完納されない場合には、その納期限から50日以内に督促状を発してその完納されない税の納付を督促し、督促状を発した日から起算して10日を経過した日までに滞納した税が完納されないときは、国税徴収法の規定による滞納処分を行うとされる（関通11-1(1)）。したがって、督促状を発することなく滞納処分を行うこととされているという部分が誤りとなる。
[参照　第2編（関税法）-第18章（関税の徴収、担保）-1.関税の徴収-（1）関税の徴収]"
関税法等(担保),56-19-2,C,税関長は、担保の提供されている関税がその納期限までに完納されない場合において、当該担保に係る保証人に当該関税を納付させるときは、納付通知書により、当該納期限の翌日から起算して1月を経過する日を納付の期限として、当該保証人にその納付を告知することとされている。,○×,×,"関税の担保が提供された場合において、納税義務者が納期限までに関税を完納しないときは、国税通則法52条の規定を準用する(関10条2項)。そして、担保として保証人が提供された場合、税関長は、担保の提供されている関税がその納期限までに完納されない場合において、当該担保に係る保証人に当該関税を納付させるときは、納付通知書により、当該通知書を発する日の翌日から起算して1月を経過する日を納付の期限として、当該保証人にその納付を告知することとされている(国税通則法施行令19条、関通10-2(3))。「納期限の翌日から起算して」ではない。
[参照　第2編（関税法）-第18章（関税の徴収、担保）-2.担保-（6）担保の充当]"
関税法等(税関事務管理人),56-19-3,B,輸入の許可を受けて引き取られた貨物について、納付された関税に不足額があった場合において、当該許可の際当該貨物の輸入者とされた者が本邦に住所及び居所を有しない場合であって、かつ、当該貨物に係る輸入申告の手続を処理した税関事務管理人が、当該手続の処理の委任をした者を明らかにすることができなかったときは、税関長は、当該税関事務管理人からその関税を徴収することができる。,○×,×,"税関事務管理人は、輸入者等が日本に住所や居所を有しない（つまり日本に住所も無いし住んでもいない）場合に、これに代わって税関関係の手続等を処理するだけであり、関税の支払義務を負うものではない(関税法95条参照)。
[参照　第2編（関税法）-第22章（税関事務管理人）-5.その他]"
関税法等(賦課権の期間制限と徴収権の消滅時効),56-19-4,A,本邦に入国する者がその入国の際に携帯して輸入する貨物で関税の課税標準の申告があったものについて、賦課決定により納付すべきこととなった関税の徴収権は、その輸入の許可の日から3年間行使しないことによって、時効により消滅する。,○×,×,"入国者の携帯品で課税標準の申告があったものについて、賦課決定の期間制限は法定納期限等である輸入の許可の日から3年間だが(関14条1項、6条の2第1項2号イ)、徴収権の消滅時効は法定納期限等である輸入の許可の日から5年間となる(関14条7項、14条の2第1項)。本問で問われているのは消滅時効なので、輸入の許可の日から3年間ではなく5年間となる。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-3.賦課権の期間制限と徴収権の消滅時効-（4）徴収権の消滅事項-①消滅時効の期間]"
関税法等(賦課権の期間制限と徴収権の消滅時効),56-19-5,A,関税(附帯税及び関税の滞納処分費を除く。)が納付されたときは、その納付された部分の関税に係る延滞税についての関税の徴収権の時効は、その納付の時から新たにその進行を始める。,○×,○,"関税（附帯税及び関税の滞納処分費を除く。）が納付されたときは、その納付された部分の関税に係る延滞税についての関税の徴収権の時効は、その納付の時から新たにその進行を始める(関14条の2第2項、国税通則法73条6項)。本税を納付するということは、納付すべき税額があり徴収権があると納税義務者が認めているから更新されるのであり、本税について認めているならそこから生じた延滞税についても認めているようなものだからである。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-3.賦課権の期間制限と徴収権の消滅時効-（4）徴収権の消滅事項-④完成猶予、更新-ⅰ国税通則法等の準用による完成猶予と更新]"
関税法等(輸出申告の特例),56-20-1,A,関税関係法令以外の法令の規定により輸出に関して許可を必要とする貨物に係る特定輸出申告は、当該貨物を外国貿易船又は外国貿易機に積み込もうとする開港又は税関空港の所在地を所轄する税関長に対してしなければならない。,○×,×,"特定輸出申告はいずれかの税関長に対して行うことができるため(関67条の3第1項)、関税関係法令以外の法令の規定により輸出に関して許可を必要とする貨物に係る特定輸出申告であっても同様となる。
[参照　第2編（関税法）-第4章（輸出入申告の特例）-1.輸出申告の特例-（1）特徴]"
関税法等(輸出申告の特例),56-20-2,A,特定委託輸出者が特定委託輸出申告を行う場合において、その申告に係る貨物が置かれている場所から当該貨物を外国貿易機に積み込もうとする税関空港までの運送については、税関長の承認を受けた場合を除き、当該申告に係る輸出の許可後を含め、一の特定保税運送者が一貫して行わなければならないこととされている。,○×,×,"特定委託輸出者が特定委託輸出申告を行う場合においては、その申告に係る貨物が置かれている場所から当該貨物を外国貿易船等に積み込もうとする開港、税関空港又は不開港までの運送を特定保税運送者に委託しなければならず、また、特定委託輸出申告に係る貨物が置かれている場所から開港等までの間において一の特定保税運送者が一貫して運送しなければならない(関67条の3第1項)。つまり、その区間は同一の特定保税運送者が運送するということである。ただし、当該申告に係る貨物について輸出の許可を受けた後は、他の特定保税運送者が運送を行ってもよい(関通67の3-2-2)。したがって、税関長の承認を受けていなくても、輸出の許可後は別の者が運送してもよい。
[参照　第2編（関税法）-第4章（輸出入申告の特例）-1.輸出申告の特例-（1）特徴]"
関税法等(定義（関税法等）),56-20-3,A,本邦の船舶により公海で採捕された水産物を洋上から直接外国に向けて送り出す場合には、関税法の規定に基づく輸出の手続を要する。,○×,○,"内国貨物とは、本邦にある貨物で外国貨物でないもの及び本邦の船舶により公海で採捕された水産物をいうので(関2条1項4号)、本問の水産物はこれに当たり内国貨物である。そして輸出とは、内国貨物を外国に向けて送り出すことをいうので(関2条1項2号)、本問はこれに当たり輸出となる。
[参照　第2編（関税法）-第1章（関税法の定義）-1.定義-（6）外国貨物、内国貨物、（10）輸出、積戻し]"
関税法等(輸出通関),56-20-4,A,税関長は、原産地について表示がされていない貨物については、輸出を許可しないこととされている。,○×,×,"輸入申告書には貨物の原産地を記載する必要があるものの(関67条、関令59条1項2号)、輸出申告書には不要である(関67条、関令58条)。
[参照　第2編（関税法）-第3章（輸出入申告）-4.申告書の記載事項]"
関税法等(保税運送),56-20-5,A,輸出の許可を受ける貨物について、保税運送しようとする場合であっても、当該貨物の輸出申告の際にこれと併せて保税運送の申告をすることはできない。,○×,×,"輸出又は積戻しの許可を受ける貨物について、保税運送しようとする場合は、当該貨物の輸出又は積戻しの申告の際にこれと併せて保税運送の申告を行うことができる(関通63-16)。
[参照　第2編（関税法）-第11章（保税運送）-1.通常の保税運送-（4）保税運送の手続]"
関税法等(輸入通関),56-21-1,A,輸入(納税)申告をしようとする者は、その輸入しようとする貨物の種類にかかわらず、予備審査制に基づく輸入貨物に係る予備申告を行うことができることとされている。,○×,○,"予備申告の対象貨物は、全ての輸入貨物である(平成12年3月31日 蔵関通達251号)。
[参照　第2編（関税法）-第3章（輸出入申告）-12.予備審査制(輸入のみ)]"
関税法等(関税法等の特例法),56-21-2,A,税関長は、コンテナーに関する通関条約第5条1の規定により関税及び消費税の免除を受けて輸入されたコンテナーの修理用の部分品を輸入しようとする者が、積卸コンテナー一覧表を税関長に提出したことをもって、関税法第67条の輸入申告があったものとみなすことはできない。,○×,○,"積卸コンテナー一覧表の提出によって輸入申告があったものとみなされるのはコンテナー本体であり、コンテナー修理用の部分品についてはこの規定は適用されない(コンテナー特例令2条、3条、特例法基本通達3-6(2))。
[参照　第5編（関税法等の特例法）-1.コンテナー特例法-（2）手続]"
関税法等(郵便物の輸出入),56-21-3,A,郵便物を輸入しようとする者から当該郵便物につき関税法第67条の輸入申告を行う旨の申出があった場合においては、日本郵便株式会社は、当該郵便物を税関長に提示することを要しない。,○×,○,"簡易手続の対象となる郵便物であっても、輸入しようとする者から輸入申告を行う旨の申し出があった場合は、通常の輸入手続により輸入されるため、日本郵便株式会社から税関長に対して、貨物である郵便物を提示する必要はない(関76条1項、3項)。
[参照　第2編（関税法）-第6章（郵便物の輸出入）-1.簡易手続の対象となる郵便物]"
関税法等(輸入通関),56-21-4,A,税関長は、特例申告貨物の輸入申告に際し、輸入の許可の判断のために必要がある場合には、当該貨物に係る運賃明細書及び保険料明細書を提出させることができる。,○×,○,"税関長は、輸入申告に際し、輸入の許可の判断のために必要がある場合には、当該貨物に係る運賃明細書や保険料明細書を提出させることができる(関68条、関令61条1項)。特例申告貨物の輸入申告だから提出不要とする規定はない。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（1）添付書類の種類]"
関税法等(特恵関税、経済連携協定),56-21-5,A,輸入しようとする外国貨物を保税蔵置場に置くことの承認の申請の際に、当該外国貨物につき経済連携協定における関税についての特別の規定による便益の適用を受けるために締約国原産地証明書を税関長に提出した場合であっても、当該外国貨物の輸入申告の際には、当該締約国原産地証明書の写しを当該税関長に提出しなければならない。,○×,×,"蔵入承認(関43条の3第1項)を受けようとする者は、当該承認を受けようとする貨物について経済連携協定における関税についての特別の便益の適用を受けようとする場合（つまりEPA税率の適用を受けようとする場合）は、蔵入承認の申請の際等に、EPA税率の適用を受けるために必要な締約国原産地証明書や締約国原産品申告書等を、税関長に提出しなければならない。この場合、当該貨物の輸入申告の際には、その締約国原産地証明書又は締約国原産品申告書等の提出はしなくてよい(関令36条の3第3項)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書、第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（2）蔵置期間]"
関税法等(輸入通関),56-22-1,A,関税関係法令以外の法令の規定により輸入に関して許可を必要とする貨物を輸入しようとする場合において、当該許可を受けることにつき日時を要するときは、当該許可を受けた後直ちにその旨を税関に証明することを条件として、当該貨物について輸入の許可前における貨物の引取りの承認を受けることができる。,○×,×,"輸入の許可を与えることができない場合においては、税関長は、輸入許可前引取承認をしてはならない(関73条2項)。そして、関税関係法令以外の法令の規定により輸入に関して許可を必要とする貨物（他法令による許可を必要とする貨物）を輸入しようとする場合において、当該許可をまだ受けていない状態で引取承認を申請するのであれば、その後許可がされるとは限らない以上、輸入の許可を与えることができない場合に当たり、輸入許可前引取承認をしてはならない。
[参照　第2編（関税法）-第3章（輸出入申告）-8.証明又は確認、11.輸入許可前引取承認(輸入のみ)-（2）承認の要件]"
関税法等(輸入通関),56-22-2,A,輸入の許可前における貨物の引取りの承認申請は、当該貨物に係る輸入申告の前に行わなければならない。,○×,×,"輸入許可前引取承認は、外国貨物について輸入申告をした後、輸入の許可前に承認申請をして引き取ろうとする制度である。そのため、承認の申請書を税関長に提出するが、輸入申告と同時か輸入申告後に提出しなければならず、輸入申告前には提出できない(関73条1項、関令63条、関通73-3-1)。したがって、輸入申告前に承認申請することはできない。
[参照　第2編（関税法）-第3章（輸出入申告）-11.輸入許可前引取承認(輸入のみ)-（3）承認の手続]"
関税法等(輸入通関),56-22-3,A,輸入の許可前における貨物の引取りの承認を受けようとする者は、当該貨物の課税価格に相当する額の担保を税関長に提供しなければならない。,○×,×,"輸入の許可前における貨物の引取りの承認を受けようとする者は、当該貨物の関税額に相当する額（過少申告加算税や重加算税に相当する額を除く。）の担保を税関長に提供しなければならない(関73条1項)。
[参照　第2編（関税法）-第3章（輸出入申告）-11.輸入許可前引取承認(輸入のみ)-（2）承認の要件]"
関税法等(輸入通関),56-22-4,A,輸入の許可前における貨物の引取りの承認を受けて引き取られた貨物については、過少申告加算税が課されることはない。,○×,×,"輸入許可前引取承認を受けて引き取られた貨物も、納税申告に不足額があって修正申告をしたり更正されたりした場合は過少申告加算税が課されうるのであり、過少申告加算税を課さない場合として規定されているわけではない(関12条の2)。
[参照　第2編（関税法）-第20章（附帯税2（加算税））-1.過少申告加算税と無申告加算税-（1）過少申告加算税又は無申告加算税が課される場合1、（1）過少申告加算税又は無申告加算税が課される場合2]"
関税法等(輸入通関),56-22-5,A,輸入の許可前における貨物の引取りの承認を受けた外国貨物は、関税法第4条(課税物件の確定の時期)の規定の適用については、内国貨物とみなされない。,○×,○,"輸入許可前引取承認を受けた貨物は、関税法の適用について、原則として内国貨物とみなされる。しかし、例外的に内国貨物とみなされない場合がいくつかあり、課税物件確定時期(関4条)についてはこれに当たる(関73条3項)。
[参照　第2編（関税法）-第3章（輸出入申告）-11.輸入許可前引取承認(輸入のみ)-（4）みなし内国貨物]"
関税法等(減免戻し税),56-23-1,A,輸入の許可を受けた貨物が、輸入の許可後引き続き、保税地域に置かれている間に、災害により損傷した場合において、当該災害のやんだ後速やかに、当該災害により損傷した貨物の品名等を記載した届出書を、当該貨物の輸入の許可をした税関長に提出してその確認を受けたときは、関税定率法第10条第2項(変質、損傷等の場合の減税又は戻し税等)の規定による関税の全部又は一部の払戻しを受けることができる。,○×,○,"輸入の許可を受けた貨物が、輸入の許可後引き続き、保税地域や他所蔵置許可場所に置かれている間に、災害その他やむを得ない理由により滅失し、変質し、損傷した場合においては、その関税の全部又は一部の払い戻しを受けることができる(関率10条2項)。このとき、災害その他やむを得ない事故（災害等）のやんだ後速やかに、当該災害等により滅失し、又は変質し、若しくは損傷した貨物の品名等を記載した届出書を、当該貨物の輸入を許可した税関長に提出して、当該事項についてその確認を受けなければならない(関率令3条の2第1項)。
[参照　第3編（関税定率法、関税暫定措置法）-第3章（減免戻し税1（無条件））-1.変質、損傷の場合の減税、戻し税等（関率4条の5、10条1項、2項）-（1）要件、（3）手続-③戻し税]"
関税法等(減免戻し税),56-23-2,B,関税定率法第17条第1項(再輸出免税)の規定により関税を免除する場合においては、税関長は、その免除に係る関税の額に相当する担保を提供させることができる。,○×,○,"関税定率法17条第1項(再輸出免税)の規定により関税を免除する場合においては、税関長は、その免除に係る関税の額に相当する担保を提供させることができる(関率17条2項、13条3項)。
[参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-1.再輸出免税（関率17条）-（3）手続]"
関税法等(減免戻し税),56-23-3,A,国際博覧会に関する条約の適用を受けて開催される国際博覧会への参加者が輸入する物品であって、当該参加者が、当該国際博覧会の会場において観覧者に無償で提供する当該国際博覧会の展示物品の見本品であって、当該国際博覧会の開催の期間及び規模、物品の種類及び価格その他の事情を勘案して相当と認められるものについては、関税定率法第15条第1項(特定用途免税)の規定による関税の免除を受けることができる。,○×,○,"博覧会等への参加者が輸入する物品であって、当該参加者が、当該博覧会等の会場において観覧者に無償で提供する当該博覧会等の記念品又は展示物品の見本品であって、当該博覧会等の開催の期間及び規模、物品の種類及び価格その他の事情を勘案して相当と認められるものについては、特定用途免税の対象物品となっている(関率15条5号の2ロ)。
[参照　第3編（関税定率法、関税暫定措置法）-第4章（減免戻し税2（条件付き））-3.特定用途免税（関率15条）-（1）要件、金額]"
関税法等(減免戻し税),56-23-4,B,関税定率法第20条の2第1項(軽減税率適用貨物の用途外使用の制限等)に規定する軽減税率の適用を受けて輸入された貨物を、その輸入の許可の日から2年以内に、その軽減税率の適用を受けた用途以外の用途に供することにつき、税関長の承認を受けたときは、当該承認を受けた者から、その軽減を受けた関税の額に相当する額の関税を直ちに徴収することとされている。,○×,○,"関税定率法20条の2第1項(軽減税率適用貨物の用途外使用の制限等)に規定する軽減税率の適用を受けて輸入された貨物を、その輸入の許可の日から2年以内に、その軽減税率の適用を受けた用途以外の用途に供し、又はその用途以外の用途に供するため譲渡してはならない。ただし、やむを得ない理由がある場合において、税関長の承認を受けたときは譲渡できるが、その場合、当該承認を受けた者から、その軽減を受けた関税の額に相当する額の関税を直ちに徴収することとされている(関率20条の2第2項、3項)。
[参照　第3編（関税定率法、関税暫定措置法）-第7章（減免戻し税5（軽減税率、転用））-1.軽減税率（関率20条の2、暫9条）-（2）用途外使用等と関税の徴収]"
関税法等(減免戻し税),56-23-5,A,本邦に住所を移転するため以外の目的で本邦に入国する者がその入国の際に別送して輸入する自動車については、関税定率法第14条(無条件免税)の規定による関税の免除を受けることができない。,○×,○,"本邦に住所を移転するため以外の目的で本邦に入国する者がその入国の際に携帯して輸入し、又は別送して輸入する一定の物品のうちその個人的な使用に供するもの及び職業上必要な器具（自動車、船舶、航空機等を除く。）については、無条件免税の規定による関税の免除を受けることができる(関率14条7号、関率令13条の6)。しかし、本問は、貨物が自動車であるため、これにより免税を受けることはできない。
[参照　第3編（関税定率法、関税暫定措置法）-第3章（減免戻し税1（無条件））-3.無条件免税（関率14条）-（1）要件、金額]"
